t,size,num_tokens,accuracy,cross_entropy,l2_distance
120,64,800000,0.014244,7.785050,1.152977
121,64,800000,0.013634,7.837632,1.162694
122,64,800000,0.012945,7.888811,1.171717
123,64,800000,0.012250,7.941463,1.181984
124,64,800000,0.011671,7.990249,1.191462
125,64,800000,0.011164,8.039578,1.200274
126,64,800000,0.010614,8.091291,1.210724
127,64,800000,0.010240,8.136683,1.219180
128,64,800000,0.009776,8.181892,1.228669
129,64,800000,0.009419,8.227869,1.237564
130,64,800000,0.008842,8.271519,1.246781
131,64,800000,0.008409,8.316756,1.255841
132,64,800000,0.007999,8.356646,1.264158
133,64,800000,0.007676,8.395883,1.272906
134,64,800000,0.007265,8.435816,1.281298
135,64,800000,0.007047,8.471730,1.288136
136,64,800000,0.006735,8.508180,1.296209
137,64,800000,0.006385,8.543916,1.303838
138,64,800000,0.006199,8.576431,1.311481
139,64,800000,0.005914,8.607219,1.317862
140,64,800000,0.005771,8.635361,1.324829
141,64,800000,0.005582,8.664172,1.331705
142,64,800000,0.005293,8.691211,1.337862
143,64,800000,0.005095,8.716889,1.344005
144,64,800000,0.004921,8.739735,1.349697
145,64,800000,0.004823,8.761348,1.354988
146,64,800000,0.004618,8.784491,1.361100
147,64,800000,0.004504,8.805077,1.366353
148,64,800000,0.004296,8.826578,1.371905
149,64,800000,0.004100,8.849536,1.377518
150,32,200000,0.005970,8.524964,1.349911
151,32,200000,0.005720,8.565954,1.359061
152,32,200000,0.005515,8.605863,1.367477
153,32,200000,0.005165,8.643360,1.376066
154,32,200000,0.004925,8.679542,1.383044
155,32,200000,0.004690,8.710573,1.390483
156,32,200000,0.004500,8.739008,1.397326
157,32,200000,0.004280,8.770330,1.403695
158,32,200000,0.004120,8.795120,1.408585
159,32,200000,0.003945,8.819637,1.414664
160,32,200000,0.003820,8.840499,1.420009
161,32,200000,0.003710,8.856101,1.424215
162,32,200000,0.003585,8.872189,1.428198
163,32,200000,0.003505,8.885026,1.431911
164,32,200000,0.003415,8.897303,1.434478
165,32,200000,0.003390,8.906238,1.437162
166,32,200000,0.003290,8.910232,1.438556
167,32,200000,0.003265,8.912891,1.440569
168,32,200000,0.003270,8.917069,1.441368
169,32,200000,0.003220,8.920851,1.441816
170,32,200000,0.003250,8.921565,1.442417
171,32,200000,0.003170,8.921000,1.442751
172,32,200000,0.003185,8.922854,1.443211
173,32,200000,0.003235,8.922488,1.443420
174,32,200000,0.003165,8.924043,1.443581
175,32,200000,0.003170,8.923615,1.443585
176,32,200000,0.003195,8.922830,1.443528
177,32,200000,0.003185,8.921820,1.443648
178,32,200000,0.003200,8.923817,1.443693
179,32,200000,0.003160,8.923711,1.443856
180,16,50000,0.001000,8.878557,1.722915
181,16,50000,0.001000,8.878557,1.722915
182,16,50000,0.001000,8.878557,1.722915
183,16,50000,0.001000,8.878557,1.722915
184,16,50000,0.001000,8.878557,1.722915
185,16,50000,0.001000,8.878557,1.722915
186,16,50000,0.001000,8.878557,1.722915
187,16,50000,0.001000,8.878557,1.722915
188,16,50000,0.001000,8.878557,1.722915
189,16,50000,0.001000,8.878557,1.722915
190,16,50000,0.001000,8.878557,1.722915
191,16,50000,0.001000,8.878557,1.722915
192,16,50000,0.001000,8.878557,1.722915
193,16,50000,0.001000,8.878557,1.722915
194,16,50000,0.001000,8.878557,1.722915
195,16,50000,0.001000,8.878557,1.722915
196,16,50000,0.001000,8.878557,1.722915
197,16,50000,0.001000,8.878557,1.722915
198,16,50000,0.001000,8.878557,1.722915
199,16,50000,0.008060,7.843214,1.195795
